truck_name,truck_type,truck_Lat,truck_Lng,city,website,phone
Pizza Spot,Pizza,18.12201534731658,-66.13925840148926,Cayey,https://www.facebook.com/pizzapr,(939) 717-7265
Los Originales Pizza Cono's Palace,Pizza,18.425342700618888,-66.29851406610106,Dorado,https://www.facebook.com/PizzaconosOriginal?fref=ts,(787) 516-2981
